DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2006,101.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2007,99.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2008,99.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2009,95.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2010,96.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2011,93.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2012,93.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2013,92.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2014,90.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2015,92.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2016,94.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2017,97.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2018,96.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2019,96.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2020,93.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2021,99.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CZ,2022,95.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2000,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2001,101.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2002,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2003,102.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2004,101.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2006,102.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2007,96.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2008,100.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2009,94.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2010,101.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2011,96.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2012,98.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2013,100.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2014,95.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2015,96.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2016,98.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2017,99.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2018,97.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2019,97.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2020,92.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2021,94.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DE,2022,92.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2000,95,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2001,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2002,95.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2003,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2004,99.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2006,101.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,DK,2007,101.4,
